DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,4,73.96408839779005,IBk,None,None,None,0.27906976744186046,0.25,0.6716058763931104,0.16302727061864233,12.0,31.0,298.0,36.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst(Bi-directional),None,None,0.4,0.2916666666666667,0.7238475177304965,0.2576348859689953,14.0,21.0,308.0,34.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst(Bi-directional),None,None,0.5714285714285714,0.08333333333333333,0.8442249240121581,0.11683197926531393,4.0,3.0,326.0,44.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst(Bi-directional),None,None,0.2682926829268293,0.22916666666666666,0.659257852077001,0.14714522065030242,11.0,30.0,299.0,37.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,OverSampling,None,0.275,0.4583333333333333,0.6990881458966566,0.21953864353312294,22.0,58.0,271.0,26.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,OverSampling,None,0.16666666666666666,0.020833333333333332,0.7842895136778115,0.00899807906177283,1.0,5.0,324.0,47.0
BOOKKEEPER,4,73.96408839779005,IBk,None,OverSampling,None,0.25925925925925924,0.4375,0.7103913373860182,0.19722446581981076,21.0,60.0,269.0,27.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,UnderSampling,None,0.28,0.5833333333333334,0.7253672745694022,0.24919906485410012,28.0,72.0,257.0,20.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,UnderSampling,None,0.125,0.020833333333333332,0.7468021783181358,-6.881635863157296E-4,1.0,7.0,322.0,47.0
BOOKKEEPER,4,73.96408839779005,IBk,None,UnderSampling,None,0.22413793103448276,0.5416666666666666,0.6878166160081054,0.16704805491990826,26.0,90.0,239.0,22.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,SMOTE,None,0.3620689655172414,0.4375,0.7087132725430598,0.2984822934232716,21.0,37.0,292.0,27.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,SMOTE,None,0.3333333333333333,0.041666666666666664,0.8528052178318136,0.04711353755939763,2.0,4.0,325.0,46.0
BOOKKEEPER,4,73.96408839779005,IBk,None,SMOTE,None,0.2549019607843137,0.2708333333333333,0.6689463019250254,0.1512936750238999,13.0,38.0,291.0,35.0
